,date,actual_pickup,scheduled_pickup,actual_pickup_boxcox,rolling_std_original,rolling_std_boxcox,scheduled_pickup_lag_7,scheduled_pickup_lag_14,actual_pickup_boxcox_lag_7,actual_pickup_boxcox_lag_14
228,2024-06-16,0,77,0.0,41.33186408215515,1.876442854662277,40.0,59.0,0.0,0.0
229,2024-06-17,0,32,0.0,41.33186408215515,1.876442854662277,34.0,17.0,4.092473440247649,0.0
230,2024-06-18,87,53,4.0307884527636375,42.214014124526784,1.903074148870034,45.0,54.0,3.784410354473241,4.231476333237389
231,2024-06-19,72,18,3.879229436027384,42.33929725389903,1.9139009019962916,15.0,85.0,3.8565842237354513,4.407156702255853
232,2024-06-20,76,37,3.922631560097957,42.96377784711851,1.9280042491054887,40.0,69.0,4.298990346923293,4.1727928265216985
233,2024-06-21,0,46,0.0,43.385786114597586,1.92930495115502,40.0,94.0,0.0,0.0
234,2024-06-22,0,83,0.0,43.385786114597586,1.92930495115502,141.0,70.0,0.0,0.0
235,2024-06-23,0,40,0.0,43.385786114597586,1.92930495115502,59.0,28.0,0.0,0.0
236,2024-06-24,94,34,4.092473440247649,44.19751904411798,1.9462761262843824,17.0,78.0,0.0,4.141668525531528
237,2024-06-25,64,45,3.784410354473241,43.8633719896094,1.9427681030285846,54.0,34.0,4.231476333237389,0.0
238,2024-06-26,70,15,3.8565842237354513,42.565649093589776,1.9314404860643328,85.0,14.0,4.407156702255853,0.0
239,2024-06-27,122,40,4.298990346923293,44.55212625703725,1.9434513231591692,69.0,29.0,4.1727928265216985,0.0
240,2024-06-28,0,40,0.0,43.42709573156097,1.9324317004731848,94.0,38.0,0.0,0.6817938513425527
241,2024-06-29,0,141,0.0,43.11684205696791,1.9196941477630383,70.0,19.0,0.0,0.0
242,2024-06-30,0,59,0.0,43.169220622978614,1.9423104685783938,28.0,29.0,0.0,0.0
243,2024-07-01,0,17,0.0,43.169220622978614,1.9423104685783938,78.0,49.0,4.141668525531528,1.3413755795590019
